"obs","NNet","MARS","SVMr","SVMp","RF","CUBIST"
"1",3.5,3.21191993140767,3.24872589917222,3.21271860133595,3.47073758038139,3.27261516666666,3.2427384853363
"2",2.92,2.96638030404831,3.17777920573368,2.95114456365341,3.40586885524939,3.06510016666666,3.15853905677795
"3",3.6,3.45351696010472,3.7909656097487,3.61277660062016,3.83942848179149,3.82206316666668,3.86742877960205
"4",3.81,3.74444208535096,3.67763090950519,3.56835564183675,3.55355358726613,3.64357733333334,3.5781581401825
"5",3.34,3.42897409306373,3.26494313981741,3.3136412950626,3.45909413880899,3.34779716666665,3.38814330101013
"6",3.45,3.90065590463411,3.7456317296513,3.88229528361102,3.70958785867915,3.75782350000001,3.84268236160278
